age,grip,chest,AVGPositivelyKeyed,AVGNegativelyKeyed
19,58,60,3.8,4.6
21,57,67,3.2,4.2
18,38,12,4.6,4
21,52,31,6,3.8
19,53,52,3,4.6
18,38,42,3.4,4.8
19,51,69,3.4,3.4
20,34,18,5.4,2
19,64,48,6.2,4.6
18,36,38,6.4,3.4
19,54,56,2.2,5.8
18,50,73,1.4,3
19,52,51,5,3.6
20,43,59,3.8,4.8
19,40,59,5.4,2.4
19,39,19,3.2,4.4
19,47,39,3,5.8
18,37,40,3.2,3.8
19,46,32,2,6
19,46,51,4.4,3.4
18,48,49,5.2,3.2
22,55,52,4.2,3.6
18,42,38,4,5.2
19,51,54,4.4,4
18,48,45,4.4,2
22,30,32,4.2,3
19,58,42,2,5.2
20,61,57,3.4,3.6
30,50,38,3.2,4.6
20,46,39,2.6,4.2
19,44,50,5.8,2.8
18,50,46,2.8,5.2
19,54,58,2,3.6
19,48,30,3.8,4.4
18,52,64,3.6,5.4
25,30,20,4.8,4.4
21,50,48,3,5.4
23,56,48,5,3.8
19,40,32,4.2,2.8
18,32,25,4.4,3.2
19,52,62,2.8,4.8
18,48,34,5.8,4
18,44,40,2,4.8
19,43,45,3.8,4.6
18,51,34,3.8,5.4
18,50,57,5,4.4
19,44,42,3.8,4
19,58,45,5.8,3.8
19,38,26,5.4,3.2
18,58,NULL,1.2,4.8
20,46,32,2,6
21,42,42,3,3.6
18,38,32,5.4,3.8
18,49,53,1.4,6.4
18,40,42,6.4,2.8
20,55,64,5,3
21,35,19,6.6,2.2
21,31,34,4.8,3.6
21,48,44,4,3.2
23,54,46,1.2,5
19,34,34,5.4,3.4
20,51,36,2.6,4.4
19,52,47,4.6,3.8
18,36,40,5,2.2
19,38,40,3.2,3
19,56,32,4.6,4.6
20,49,36,3.4,4
19,38,56,4.8,3.2
18,40,32,6.4,2.4
26,39,50,5,4.4
18,40,40,4.2,5.2
18,57,66,3.2,3.6
19,45,40,3.8,3.6
21,48,30,2.8,3.4
19,45,33,4.8,3.4
19,48,32,3.4,6
21,35,25,4.4,4.4
24,51,20,5,4.4
19,50,38,2.4,5.2
19,49,41,4.2,3.4
19,35,28,3.4,3.6
20,34,38,4.2,3.8
19,38,36,4.4,4
19,54,52,2.4,6
19,38,26,5.6,2.8
18,55,48,5.4,5
19,21,14,5.4,2.4
18,33,11,4,4
19,28,6,5.4,3
19,27,24,3,3.4
19,28,11,6.2,2
18,32,18,6.2,3
21,25,22,5.8,3.8
19,37,21,2.8,4
18,34,30,4,4
18,22,12,4.4,3
19,30,14,3.6,3
19,25,8,4.2,3.8
20,13,18,6,1.2
21,27,18,4.2,5
18,26,16,2,3.8
19,33,22,4.2,4.4
21,22,12,2,4.4
19,27,15,3.8,2.8
20,26,18,6.6,1.8
19,21,16,3.4,3.8
19,22,14,4.2,4.2
18,34,22,5.8,4
20,31,25,4.4,4.2
20,24,13,6.2,2
20,29,17,5.4,2.2
19,27,14,4.6,4.4
19,30,26,4.2,3.8
20,29,20,2.4,4.6
19,33,13,1.4,5.2
20,25,20,5,1.6
21,25,22,2.8,4
20,34,14,3.4,2.6
18,33,11,2.4,6
18,29,14,6.6,1.6
18,30,12,5.6,3.6
22,52,34,5.2,3
20,34,22,5.2,3.8
19,44,32,3.6,4.6
20,60,38,6.4,3.8
18,30,16,6.6,3.2
20,24,20,2.8,4.2
18,31,20,5.2,3.4
18,30,36,5.4,3.2
19,30,16,3,4
19,26,18,4.2,3.4
19,21,8,5.4,3
19,23,19,5.6,3.4
21,25,18,6.6,1.8
22,25,15,2.8,5
21,28,15,3,4.2
20,30,13,4.8,4.6
19,22,12,4.2,5.2
18,19,13,5.4,3
18,30,18,3.8,3.6
19,28,19,5.6,2
19,16,8,4.4,4
19,22,15,4.8,3.8
19,30,21,5,3.2
19,18,8,4.8,2.8
19,30,23,5.8,3.2
18,27,10,3.2,5
19,31,31,3.6,4.8
18,23,23,5,4.6
19,30,30,5,3.4
18,27,16,4.4,5.4
21,26,26,5.8,1.8
19,32,11,4.8,2.8
21,32,25,3.2,3.4
19,36,26,5.2,3.6
20,36,26,5,4.4
19,40,32,3,2.2
18,24,15,4.2,3.8
19,38,27,1.4,4.6
18,25,14,4.6,4
19,26,15,4.4,2.6
19,26,20,4.6,3.8
18,20,16,5.8,4
18,32,19,3.8,4.2
19,34,28,6.8,2.4
19,19,14,5.6,2.6
20,22,13,5.8,2.8
18,24,13,1.2,5.6
19,28,13,3.4,4.8
18,32,23,2.6,4.8
18,19,9,4.4,3.8
19,16,8,2,2.8
18,30,14,6,2.6
20,16,26,6,1.8
